signature_id,failure_type,module,recurrence_count,testcase_impact,total_failures,severity,timestamp,priority_score,impact_level
1,assertion_failure,AHB_Controller,3,3,15,HIGH,2026-03-06 to 2026-03-06,9,High
4,data_corruption,Memory_Controller,2,2,16,CRITICAL,2026-03-06 to 2026-03-06,4,Medium
2,cache_error,Cache_L1,1,1,4,HIGH,2026-03-06 to 2026-03-06,1,Low
3,clock_issue,Clock_Domain,1,1,6,CRITICAL,2026-03-06 to 2026-03-06,1,Low
5,data_corruption,Register_File,1,1,4,HIGH,2026-03-06 to 2026-03-06,1,Low
6,deadlock,Interconnect,1,1,3,HIGH,2026-03-06 to 2026-03-06,1,Low
7,illegal_state,ALU,1,1,2,HIGH,2026-03-06 to 2026-03-06,1,Low
8,timeout,Control_Unit,1,1,3,HIGH,2026-03-06 to 2026-03-06,1,Low
9,unknown,Data_Path,1,1,2,HIGH,2026-03-06 to 2026-03-06,1,Low
10,unknown,Reset_Logic,1,1,1,HIGH,2026-03-06 to 2026-03-06,1,Low
