commit_id,author_id,author_experience_years,commit_date,files_modified,lines_added,lines_deleted,modules_affected_count,modules_affected,code_churn_ratio,is_hotspot_module,historical_bug_frequency,regression_time_hours,failure_probability_true,test_failed,test_fail_count
commit_000000,author_41,10.48,2024-03-17 00:00:00,43,3782,1638,10,"AHB_Controller,UART_Controller,ALU,Cache_L2,Clock_Domain,Cache_L1,Memory_Controller,Interconnect,GPIO_Controller,SPI_Interface",0.5202,1,28,14.2,1.0,1,6
commit_000001,author_6,2.03,2024-05-29 06:00:00,4,3083,1021,6,"Cache_L2,Interconnect,I2C_Interface,AHB_Controller,Clock_Domain,Reset_Logic",0.4508,1,23,11.51,1.0,1,3
commit_000002,author_45,6.96,2024-10-13 09:00:00,41,3109,2182,9,"Cache_L2,Control_Unit,I2C_Interface,ALU,AHB_Controller,Cache_L1,Data_Path,Register_File,GPIO_Controller",0.5141,1,28,13.64,1.0,1,6
commit_000003,author_49,6.28,2024-08-17 18:00:00,28,3312,2237,1,Memory_Controller,0.526,1,2,9.76,0.4713,1,5
commit_000004,author_7,0.0,2024-09-02 01:00:00,37,4789,663,15,"Clock_Domain,Register_File,I2C_Interface,ALU,AHB_Controller,Control_Unit,Interconnect,Memory_Controller,Cache_L2,SPI_Interface,UART_Controller,Cache_L1,Data_Path,GPIO_Controller,Reset_Logic",0.5216,1,60,16.72,1.0,1,6
commit_000005,author_3,17.33,2024-06-04 13:00:00,16,966,1704,4,"GPIO_Controller,ALU,Memory_Controller,Cache_L2",0.3481,1,17,9.48,0.8167,0,0
commit_000006,author_25,3.18,2024-07-08 18:00:00,35,3130,16,12,"Control_Unit,SPI_Interface,Register_File,Cache_L1,GPIO_Controller,Clock_Domain,Cache_L2,ALU,I2C_Interface,Data_Path,AHB_Controller,Memory_Controller",0.3862,1,46,13.86,1.0,1,5
commit_000007,author_16,14.05,2024-04-21 13:00:00,32,4152,2914,7,"Control_Unit,Data_Path,ALU,SPI_Interface,Interconnect,Cache_L2,Register_File",0.5856,1,19,13.36,0.9093,1,2
commit_000008,author_50,14.33,2024-02-08 04:00:00,29,4055,1243,5,"Cache_L2,Clock_Domain,AHB_Controller,Register_File,Data_Path",0.5145,1,22,11.64,0.9558,1,1
commit_000009,author_14,18.67,2024-08-02 19:00:00,37,3923,1066,12,"Cache_L2,SPI_Interface,Control_Unit,Data_Path,Clock_Domain,GPIO_Controller,Cache_L1,ALU,Memory_Controller,UART_Controller,I2C_Interface,Interconnect",0.4994,1,39,14.99,1.0,1,5
commit_000010,author_28,11.12,2024-09-29 15:00:00,45,2992,2445,15,"Register_File,Cache_L2,Cache_L1,Interconnect,Control_Unit,Memory_Controller,AHB_Controller,I2C_Interface,SPI_Interface,Reset_Logic,Data_Path,Clock_Domain,GPIO_Controller,UART_Controller,ALU",0.5209,1,57,16.71,1.0,1,5
commit_000011,author_30,9.71,2024-12-27 05:00:00,33,2518,2779,13,"ALU,Interconnect,AHB_Controller,SPI_Interface,Memory_Controller,Clock_Domain,Reset_Logic,Register_File,GPIO_Controller,Cache_L1,Cache_L2,UART_Controller,I2C_Interface",0.5144,1,33,15.64,1.0,1,1
commit_000012,author_47,18.3,2024-06-28 19:00:00,30,4868,1848,1,Interconnect,0.5732,1,1,10.23,0.4409,0,0
commit_000013,author_33,11.23,2024-03-13 15:00:00,2,2132,434,7,"Clock_Domain,SPI_Interface,ALU,Reset_Logic,Interconnect,I2C_Interface,Cache_L2",0.3391,1,20,10.89,0.9801,1,7
commit_000014,author_49,16.06,2024-04-20 06:00:00,4,4465,2947,8,"Interconnect,GPIO_Controller,Reset_Logic,AHB_Controller,I2C_Interface,Register_File,Control_Unit,UART_Controller",0.5972,1,27,13.97,1.0,1,3
